Staff Report
User,Email,Interaction,Topic,Medium,Follow up date,Interaction creation date
admin@admin.com,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2828c2a0>
dena@schinner.info,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2964f7d8>
Id ex occaecati nihil eaque ut laudantium quis.,phone,2013-12-26 05:00:00 UTC
lindsay@satterfield.info,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2a581a08>
roy@paucek.ca,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2a571bd0>
Rem occaecati est non enim.,email,2016-07-12 04:00:00 UTC
Delectus omnis id veritatis reiciendis id.,email,2014-10-13 04:00:00 UTC
una@bartell.co.uk,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2a5615a0>
Eveniet nobis ab est earum ea magnam aut.,phone,2014-10-30 04:00:00 UTC
Illo illum repellat cupiditate mollitia dolor.,phone,2014-06-05 04:00:00 UTC
Dolores possimus quisquam qui sed.,email,2012-02-20 05:00:00 UTC
Consequatur provident totam nihil voluptatem.,email,2015-12-15 05:00:00 UTC
Atque minima deserunt ipsa ab voluptas.,phone,2014-06-26 04:00:00 UTC
thelma@schneider.info,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2a542358>
marjory@lueilwitz.co.uk,#<Interaction::ActiveRecord_Associations_CollectionProxy:0x007f8b2a5385b0>
